RAM_GB,Storage_GB,Battery_mAh,Charging_W,Screen_Size_Inches,Resolution_Width,Resolution_Height,Refresh_Rate_Hz,Rear_Camera_MP,Front_Camera_MP,Processor_Speed_GHz,Cores,Has_3G,Has_4G,Has_5G,Has_VoLTE,Has_WiFi,Has_NFC,External_Memory_Supported,Android_Version,FM_Radio,Price_Category
12.0,256.0,6200.0,80.0,6.83,1272.0,2800.0,120.0,50.0,50.0,3.25,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
8.0,256.0,6000.0,80.0,6.59,1256.0,2760.0,120.0,50.0,50.0,3.35,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
12.0,256.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
12.0,256.0,6500.0,90.0,6.31,1216.0,2640.0,120.0,50.0,50.0,3.25,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
4.0,128.0,6000.0,45.0,6.67,720.0,1604.0,120.0,50.0,8.0,2.4,7.0,1,1,1,1,1,0,1,15.0,0,"Below 15,000"
8.0,128.0,5500.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1,1,1,1,1,0,0,15.0,1,"15,000-29,999"
12.0,256.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1,1,1,1,1,1,0,15.0,1,"15,000-29,999"
4.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1,1,1,1,1,0,1,15.0,0,"Below 15,000"
12.0,256.0,6500.0,90.0,6.31,1216.0,2640.0,120.0,50.0,50.0,3.4,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
6.0,128.0,5000.0,25.0,6.74,1080.0,2340.0,120.0,50.0,13.0,2.4,7.0,1,1,1,1,1,0,0,15.0,0,"15,000-29,999"
12.0,512.0,6200.0,80.0,6.83,1272.0,2800.0,120.0,50.0,50.0,3.25,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
8.0,256.0,5500.0,90.0,6.67,1260.0,2800.0,120.0,50.0,32.0,3.25,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
8.0,256.0,6000.0,90.0,6.7,1220.0,2712.0,120.0,50.0,50.0,3.35,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
12.0,256.0,5500.0,68.0,6.7,1220.0,2712.0,120.0,50.0,50.0,2.6,7.0,1,1,1,1,1,1,0,15.0,0,"15,000-29,999"
6.0,128.0,6500.0,44.0,6.72,1080.0,2408.0,120.0,50.0,8.0,2.5,7.0,1,1,1,1,1,0,0,15.0,0,"Below 15,000"
12.0,256.0,5850.0,80.0,6.32,1216.0,2640.0,120.0,50.0,32.0,4.32,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
12.0,256.0,5500.0,68.0,6.67,1080.0,2400.0,144.0,50.0,32.0,2.5,7.0,1,1,1,1,1,0,0,14.0,0,"15,000-29,999"
8.0,128.0,5150.0,65.0,6.7,1080.0,2400.0,120.0,50.0,32.0,3.2,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
8.0,128.0,7300.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1,1,1,1,1,0,0,15.0,0,"15,000-29,999"
8.0,128.0,4700.0,25.0,6.7,1080.0,2340.0,120.0,50.0,10.0,3.11,7.0,1,1,1,1,1,1,0,14.0,0,"30,000 and above"
8.0,256.0,7100.0,80.0,6.7,1080.0,2412.0,120.0,50.0,16.0,2.5,7.0,1,1,1,1,1,1,1,15.0,0,"15,000-29,999"
12.0,512.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
8.0,256.0,5500.0,68.0,6.7,1220.0,2712.0,120.0,50.0,32.0,2.5,7.0,1,1,1,1,1,0,0,15.0,0,"15,000-29,999"
4.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1,1,0,1,1,0,0,15.0,0,"Below 15,000"
8.0,128.0,7000.0,120.0,6.78,1260.0,2800.0,144.0,50.0,32.0,3.2,7.0,1,1,1,1,1,1,0,15.0,1,"30,000 and above"
8.0,256.0,10000.0,320.0,6.8,1264.0,2780.0,144.0,50.0,32.0,2.5,7.0,1,1,1,1,1,1,0,15.0,0,"30,000 and above"
8.0,128.0,5000.0,33.0,6.67,1080.0,2400.0,120.0,50.0,32.0,2.3,7.0,1,1,1,1,1,0,0,14.0,0,"15,000-29,999"
8.0,128.0,7000.0,80.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.3,7.0,1,1,1,1,1,0,0,15.0,1,"15,000-29,999"
6.0,128.0,5000.0,18.0,6.75,720.0,1600.0,120.0,50.0,8.0,2.6,7.0,1,1,1,1,1,0,0,15.0,0,"Below 15,000"
