numeric__RAM_GB,numeric__Storage_GB,numeric__Battery_mAh,numeric__Charging_W,numeric__Screen_Size_Inches,numeric__Resolution_Width,numeric__Resolution_Height,numeric__Refresh_Rate_Hz,numeric__Rear_Camera_MP,numeric__Front_Camera_MP,numeric__Processor_Speed_GHz,numeric__Cores,numeric__Has_3G,numeric__Has_4G,numeric__Has_5G,numeric__Has_VoLTE,numeric__Has_WiFi,numeric__Has_NFC,numeric__External_Memory_Supported,numeric__Android_Version,numeric__FM_Radio,numeric__Resolution_Megapixels,numeric__Total_Camera_MP,numeric__Battery_per_Screen_Inch,numeric__Storage_per_RAM_GB,numeric__Resolution_Aspect_Ratio,Price_Category_Encoded
12.0,256.0,6200.0,80.0,6.83,1272.0,2800.0,120.0,50.0,50.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.5616,100.0,907.7598828696925,21.333333333333332,0.4542857142857143,2
8.0,256.0,6000.0,80.0,6.59,1256.0,2760.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.46656,100.0,910.4704097116844,32.0,0.45507246376811594,2
12.0,256.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.54816,70.0,1105.4172767203513,21.333333333333332,0.46176046176046176,2
12.0,256.0,6500.0,90.0,6.31,1216.0,2640.0,120.0,50.0,50.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.21024,100.0,1030.1109350237718,21.333333333333332,0.46060606060606063,2
4.0,128.0,6000.0,45.0,6.67,720.0,1604.0,120.0,50.0,8.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.15488,58.0,899.5502248875563,32.0,0.4488778054862843,0
8.0,128.0,5500.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,2.58336,82.0,812.4076809453471,16.0,0.451505016722408,1
12.0,256.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.54816,70.0,1105.4172767203513,21.333333333333332,0.46176046176046176,1
4.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.152,55.0,890.2077151335311,32.0,0.45,0
12.0,256.0,6500.0,90.0,6.31,1216.0,2640.0,120.0,50.0,50.0,3.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.21024,100.0,1030.1109350237718,21.333333333333332,0.46060606060606063,2
6.0,128.0,5000.0,25.0,6.74,1080.0,2340.0,120.0,50.0,13.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.5272,63.0,741.8397626112759,21.333333333333332,0.46153846153846156,1
12.0,512.0,6200.0,80.0,6.83,1272.0,2800.0,120.0,50.0,50.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.5616,100.0,907.7598828696925,42.666666666666664,0.4542857142857143,2
8.0,256.0,5500.0,90.0,6.67,1260.0,2800.0,120.0,50.0,32.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.528,82.0,824.5877061469265,32.0,0.45,2
8.0,256.0,6000.0,90.0,6.7,1220.0,2712.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.30864,100.0,895.5223880597015,32.0,0.4498525073746313,2
12.0,256.0,5500.0,68.0,6.7,1220.0,2712.0,120.0,50.0,50.0,2.6,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.30864,100.0,820.8955223880597,21.333333333333332,0.4498525073746313,1
6.0,128.0,6500.0,44.0,6.72,1080.0,2408.0,120.0,50.0,8.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.60064,58.0,967.2619047619048,21.333333333333332,0.4485049833887043,0
12.0,256.0,5850.0,80.0,6.32,1216.0,2640.0,120.0,50.0,32.0,4.32,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.21024,82.0,925.632911392405,21.333333333333332,0.46060606060606063,2
12.0,256.0,5500.0,68.0,6.67,1080.0,2400.0,144.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,82.0,824.5877061469265,21.333333333333332,0.45,1
8.0,128.0,5150.0,65.0,6.7,1080.0,2400.0,120.0,50.0,32.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.592,82.0,768.6567164179104,16.0,0.45,2
8.0,128.0,7300.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.58336,82.0,1078.2865583456426,16.0,0.451505016722408,1
8.0,128.0,4700.0,25.0,6.7,1080.0,2340.0,120.0,50.0,10.0,3.11,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.5272,60.0,701.4925373134328,16.0,0.46153846153846156,2
